symbol,sector,industry,exchange,market_cap_B
WBD,Communication Services,Entertainment,NMS,52.36
MET,Financial Services,Insurance - Life,NYQ,52.32
VLO,Energy,Oil & Gas Refining & Marketing,NYQ,52.17
D,Utilities,Utilities - Regulated Electric,NYQ,52.11
ROP,Technology,Software - Application,NMS,51.53
MPWR,Technology,Semiconductors,NMS,51.48
MPLX,Energy,Oil & Gas Midstream,NYQ,51.41
IDXX,Healthcare,Diagnostics & Research,NMS,51.27
ZS,Technology,Software - Infrastructure,NMS,51.13
ROST,Consumer Cyclical,Apparel Retail,NMS,50.98
ALL,Financial Services,Insurance - Property & Casualty,NYQ,50.91
NDAQ,Financial Services,Financial Data & Stock Exchanges,NMS,50.5
ARGX,Healthcare,Biotechnology,NMS,50.35
EA,Communication Services,Electronic Gaming & Multimedia,NMS,50.08
STX,Technology,Computer Hardware,NMS,49.86
CARR,Industrials,Building Products & Equipment,NYQ,49.22
FAST,Industrials,Industrial Distribution,NMS,49.22
FERG,Industrials,Industrial Distribution,NYQ,48.83
VALE,Basic Materials,Other Industrial Metals & Mining,NYQ,48.8
ARES,Financial Services,Asset Management,NYQ,48.79
EXC,Utilities,Utilities - Regulated Electric,NMS,48.51
CBRE,Real Estate,Real Estate Services,NYQ,48.5
XYZ,Technology,Software - Infrastructure,NYQ,48.49
SU,Energy,Oil & Gas Integrated,NYQ,48.34
LNG,Energy,Oil & Gas Midstream,NYQ,48.26
GRMN,Technology,Scientific & Technical Instruments,NYQ,48.21
JD,Consumer Cyclical,Internet Retail,NMS,48.06
VEEV,Healthcare,Health Information Services,NYQ,48.03
TCOM,Consumer Cyclical,Travel Services,NMS,47.58
XEL,Utilities,Utilities - Regulated Electric,NMS,47.54
FER,Industrials,Engineering & Construction,NMS,47.45
DHI,Consumer Cyclical,Residential Construction,NYQ,47.09
TTWO,Communication Services,Electronic Gaming & Multimedia,NMS,47.06
BKR,Energy,Oil & Gas Equipment & Services,NMS,46.63
IMO,Energy,Oil & Gas Integrated,ASE,46.33
GWW,Industrials,Industrial Distribution,NYQ,46.32
WCN,Industrials,Waste Management,NYQ,45.27
AMP,Financial Services,Asset Management,NYQ,45.17
PAYX,Technology,Software - Application,NMS,44.84
EW,Healthcare,Medical Devices,NYQ,44.68
WPM,Basic Materials,Gold,NYQ,44.6
UI,Technology,Communication Equipment,NYQ,44.5
KR,Consumer Defensive,Grocery Stores,NYQ,44.47
TAK,Healthcare,Drug Manufacturers - Specialty & Generic,NYQ,44.45
EBAY,Consumer Cyclical,Internet Retail,NMS,44.42
WDC,Technology,Computer Hardware,NMS,44.37
AIG,Financial Services,Insurance - Diversified,NYQ,43.77
CTVA,Basic Materials,Agricultural Inputs,NYQ,43.23
CPRT,Industrials,Specialty Business Services,NMS,43.22
AME,Industrials,Specialty Industrial Machinery,NYQ,43.22
OKE,Energy,Oil & Gas Midstream,NYQ,43.21
ETR,Utilities,Utilities - Regulated Electric,NYQ,43.11
CCI,Real Estate,REIT - Specialty,NYQ,42.89
TGT,Consumer Defensive,Discount Stores,NYQ,42.83
TEAM,Technology,Software - Application,NMS,42.81
FLUT,Consumer Cyclical,Gambling,NYQ,42.77
FANG,Energy,Oil & Gas E&P,NMS,42.22
A,Healthcare,Diagnostics & Research,NYQ,41.97
MSCI,Financial Services,Financial Data & Stock Exchanges,NYQ,41.95
OXY,Energy,Oil & Gas E&P,NYQ,41.91
HLN,Healthcare,Drug Manufacturers - Specialty & Generic,NYQ,41.76
BIDU,Communication Services,Internet Content & Information,NMS,41.68
CCEP,Consumer Defensive,Beverages - Non-Alcoholic,NMS,41.68
PEG,Utilities,Utilities - Regulated Electric,NYQ,41.48
CVNA,Consumer Cyclical,Auto & Truck Dealerships,NYQ,41.07
HMC,Consumer Cyclical,Auto Manufacturers,NYQ,40.9
BSBR,Financial Services,Banks - Regional,NYQ,40.57
RDDT,Communication Services,Internet Content & Information,NYQ,40.09
ROK,Industrials,Specialty Industrial Machinery,NYQ,40.08
FICO,Technology,Software - Application,NYQ,40.01
DAL,Industrials,Airlines,NYQ,39.8
YUM,Consumer Cyclical,Restaurants,NYQ,39.79
LVS,Consumer Cyclical,Resorts & Casinos,NYQ,39.54
KMB,Consumer Defensive,Household & Personal Products,NMS,39.46
VMC,Basic Materials,Building Materials,NYQ,38.68
CCL,Consumer Cyclical,Travel Services,NYQ,38.61
CAH,Healthcare,Medical Distribution,NYQ,38.46
SYM,Industrials,Specialty Industrial Machinery,NGM,38.44
CCJ,Energy,Uranium,NYQ,38.41
HEI,Industrials,Aerospace & Defense,NYQ,38.27
ALC,Healthcare,Medical Instruments & Supplies,NYQ,38
RMD,Healthcare,Medical Instruments & Supplies,NYQ,37.87
RKT,Financial Services,Mortgage Finance,NYQ,37.72
IQV,Healthcare,Diagnostics & Research,NYQ,37.49
MLM,Basic Materials,Building Materials,NYQ,37.46
WEC,Utilities,Utilities - Regulated Electric,NYQ,37.28
SYY,Consumer Defensive,Food Distribution,NYQ,37.01
KDP,Consumer Defensive,Beverages - Non-Alcoholic,NMS,36.9
EL,Consumer Defensive,Household & Personal Products,NYQ,36.81
FNV,Basic Materials,Gold,NYQ,36.64
HSY,Consumer Defensive,Confectioners,NYQ,36.36
GFI,Basic Materials,Gold,NYQ,36.26
XYL,Industrials,Specialty Industrial Machinery,NYQ,36.09
OTIS,Industrials,Specialty Industrial Machinery,NYQ,36.09
ED,Utilities,Utilities - Regulated Electric,NYQ,36.08
PCG,Utilities,Utilities - Regulated Electric,NYQ,36.05
PRU,Financial Services,Insurance - Life,NYQ,35.96
ONC,Healthcare,Biotechnology,NMS,35.75
GEHC,Healthcare,Health Information Services,NMS,35.68
TME,Communication Services,Internet Content & Information,NYQ,35.57
CRCL,Financial Services,Capital Markets,NYQ,35.57
LYV,Communication Services,Entertainment,NYQ,35.46
FIS,Technology,Information Technology Services,NYQ,35.41
PUK,Financial Services,Insurance - Life,NYQ,35.21
HIG,Financial Services,Insurance - Property & Casualty,NYQ,35.18
ABEV,Consumer Defensive,Beverages - Brewers,NYQ,34.98
HUM,Healthcare,Healthcare Plans,NYQ,34.96
CUK,Consumer Cyclical,Travel Services,NYQ,34.93
FMX,Consumer Defensive,Beverages - Brewers,NYQ,34.9
SOFI,Financial Services,Credit Services,NMS,34.74
FIX,Industrials,Engineering & Construction,NYQ,34.63
AU,Basic Materials,Gold,NYQ,34.61
SLF,Financial Services,Insurance - Diversified,NYQ,34.45
CLS,Technology,Electronic Components,NYQ,34.17
MCHP,Technology,Semiconductors,NMS,34.09
DD,Basic Materials,Specialty Chemicals,NYQ,33.92
NOK,Technology,Communication Equipment,NYQ,33.89
WAB,Industrials,Railroads,NYQ,33.79
CHT,Communication Services,Telecom Services,NYQ,33.78
INSM,Healthcare,Biotechnology,NMS,33.75
EQT,Energy,Oil & Gas E&P,NYQ,33.51
EME,Industrials,Engineering & Construction,NYQ,33.49
CHTR,Communication Services,Telecom Services,NMS,33.36
EXR,Real Estate,REIT - Industrial,NYQ,33.3
VICI,Real Estate,REIT - Diversified,NYQ,33.26
CTSH,Technology,Information Technology Services,NMS,33.14
TRGP,Energy,Oil & Gas Midstream,NYQ,33.09
