symbol,sector,industry,market_cap_B,data_days,data_completeness,indicators_used,bullish_score,bearish_score,net_score,bullish_volume_spikes,bearish_volume_spikes,bull_price_above_20ma,bull_price_above_50ma,bull_price_above_200ma,bull_ma_alignment,bull_strong_volume,bull_volume_trend_up,bull_healthy_volume,bull_rsi_bullish,bull_macd_bullish,bull_higher_highs,bull_obv_uptrend,bear_price_below_20ma,bear_price_below_50ma,bear_price_below_200ma,bear_ma_bearish_alignment,bear_strong_bearish_volume,bear_volume_trend_down,bear_distribution_volume,bear_rsi_bearish,bear_macd_bearish,bear_lower_lows,bear_obv_downtrend
XTNT,Healthcare,Medical Devices,0.09,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",23.076923076923077,69.23076923076923,-46.153846153846146,3,1,False,False,False,False,True,True,False,False,False,False,True,True,True,True,True,False,False,True,True,True,False,False
WIMI,Communication Services,Advertising Agencies,0.09,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",23.076923076923077,69.23076923076923,-46.153846153846146,1,0,False,False,False,False,False,True,True,False,False,False,True,True,True,True,True,False,False,False,True,True,True,False
VEEE,Consumer Cyclical,Recreational Vehicles,0.01,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",23.076923076923077,69.23076923076923,-46.153846153846146,2,1,False,False,False,False,True,False,True,False,False,False,True,True,True,True,True,False,True,False,True,True,False,False
SRM,Consumer Cyclical,Leisure,0.01,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",23.076923076923077,69.23076923076923,-46.153846153846146,2,0,False,False,False,False,True,False,True,False,False,False,True,True,True,True,True,False,True,False,True,True,False,False
EML,Industrials,Tools & Accessories,0.17,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",23.076923076923077,69.23076923076923,-46.153846153846146,2,1,False,False,False,False,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True
SISI,Consumer Defensive,Farm Products,0.03,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",23.076923076923077,69.23076923076923,-46.153846153846146,2,1,False,False,False,False,True,True,True,False,False,False,False,True,True,True,True,False,False,False,True,True,False,True
APO,Financial Services,Asset Management,97.18,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",23.076923076923077,69.23076923076923,-46.153846153846146,2,0,False,False,False,False,True,False,True,False,True,False,False,True,True,True,True,False,True,False,True,False,False,True
FAAS,Technology,Software - Infrastructure,0.03,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",23.076923076923077,69.23076923076923,-46.153846153846146,1,0,False,False,False,False,False,False,True,False,True,False,True,True,True,True,True,False,True,False,True,False,True,False
FBIOP,Healthcare,Biotechnology,0.03,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",23.076923076923077,69.23076923076923,-46.153846153846146,2,1,False,False,False,False,True,True,False,False,False,False,True,True,True,True,True,False,False,True,True,True,False,False
SRG,Real Estate,Real Estate Services,0.21,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",23.076923076923077,69.23076923076923,-46.153846153846146,1,2,False,False,False,False,False,True,False,False,True,False,True,True,True,True,True,True,False,True,True,False,False,False
WATT,Technology,Scientific & Technical Instruments,0.01,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",23.076923076923077,69.23076923076923,-46.153846153846146,0,2,False,False,False,False,False,True,True,False,True,False,False,True,True,True,True,True,False,False,True,False,False,True
LUCY,Healthcare,Medical Instruments & Supplies,0.01,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",23.076923076923077,69.23076923076923,-46.153846153846146,2,1,False,False,False,False,True,False,True,False,False,False,True,True,True,True,True,False,True,False,True,True,False,False
KZIA,Healthcare,Biotechnology,0.01,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",23.076923076923077,69.23076923076923,-46.153846153846146,0,1,False,False,False,False,False,True,True,False,True,False,False,True,True,True,True,False,False,False,True,False,True,True
SST,Industrials,Specialty Business Services,0.06,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",23.076923076923077,69.23076923076923,-46.153846153846146,0,1,False,False,False,False,False,True,True,False,True,False,False,True,True,True,True,False,False,False,True,False,True,True
ONVO,Healthcare,Biotechnology,0.01,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",23.076923076923077,69.23076923076923,-46.153846153846146,1,1,False,False,False,False,False,False,True,False,True,False,True,True,True,True,True,False,True,False,True,False,True,False
XXII,Consumer Defensive,Tobacco,0.01,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",23.076923076923077,69.23076923076923,-46.153846153846146,1,2,False,False,False,False,False,False,True,False,True,False,True,True,True,True,True,True,True,False,False,False,True,False
LGHL,Financial Services,Capital Markets,0.01,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",23.076923076923077,69.23076923076923,-46.153846153846146,1,1,False,False,False,False,False,False,True,False,True,False,True,True,True,True,True,False,True,False,True,False,True,False
TBNK,Financial Services,Banks - Regional,0.07,241,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",23.076923076923077,69.23076923076923,-46.153846153846146,0,3,False,False,False,False,False,True,True,False,True,False,False,True,True,True,True,True,False,False,True,False,False,True
VGAS,Utilities,Utilities - Renewable,0.16,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",23.076923076923077,69.23076923076923,-46.153846153846146,2,1,False,False,False,False,True,False,False,False,True,False,True,True,True,True,True,False,True,True,True,False,False,False
CCM,Healthcare,Medical Care Facilities,0.02,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",23.076923076923077,69.23076923076923,-46.153846153846146,2,2,False,False,False,False,True,True,False,False,True,False,False,True,True,True,True,True,False,False,True,False,False,True
